planSource,curated_type,notes,source_type,volume_Mgal,operator_clean,dep_score,dep_src,dep_type
B&B INVESTMENT GRP,,,ambiguous,4.25,chesapeake appalachia,56.25,GREENWALTZ B-2,groundwater
Montoursville Borough,,,ambiguous,4.09,inflection energy,76.4705882353,MONTOURSVILLE BORO WATER WORKS INTC,interconnection
SRC5H,,,ambiguous,2.38,seneca resources co,54.5454545455,SRC 5H,groundwater
4. WB-3,,,ambiguous,2.27,eqt aro,66.6666666667,RW-134,groundwater
2. RES Mt. Pleasant,,,ambiguous,2.01,olympus energy,78.5714285714,WESTMORELAND CNTY MUNI AUTH (MT PLEASANT TWP) INTC,interconnection
Principle,,,ambiguous,2,rockdale marcellus,63.1578947368,DRAIN TILE,surface_water
TLC,,,ambiguous,1.72,inflection energy,50,PW-LC,groundwater
Forwarded,,,ambiguous,1.3,eqt chap,54.5454545455,LAURELLY FORK,surface_water
C2G SHASKAS,,,ambiguous,1.22,swn prod co,55.5555555556,2 LAKES,surface_water
HR-/BMA,,,ambiguous,1.21,seneca resources co,71.4285714286,HFR BARN,groundwater
Healthy Propeties,,,ambiguous,1.07,blackhill energy,66.6666666667,HEALTHY PROPERTIES INC SUGAR CREEK INTC,interconnection
STUNNER/SMITH,,,ambiguous,1.05,inflection energy,62.5,SMITH CREEK,surface_water
Nuverra,,,ambiguous,1.04,rockdale marcellus,57.1428571429,CONVERTER EAST,groundwater
Precipitation,,,ambiguous,0.84,pa gen energy co,56.25,SEDIMENTATION PONDS,surface_water
EICHENLAUB,,,ambiguous,0.79,inflection energy,54.5454545455,ESHELMAN RUN,surface_water
WB Linden (by Anadarko in 2013),,,ambiguous,0.78,eqt aro,72.7272727273,ANADARKO EP CO INTC,interconnection
Bodines Extraction,,,ambiguous,0.66,swn prod co,71.4285714286,LTP EXTRACTION WELL,groundwater
Heckmann,,,ambiguous,0.66,rockdale marcellus,60,ESHELMAN RUN,surface_water
KSE,,,ambiguous,0.64,rockdale marcellus,57.1428571429,LAKE,surface_water
3. Canton (~5%),,,ambiguous,0.63,chief oil & gas,75,CANTON BORO AUTH SULLIVAN ST BULK LOADING STATION INTC,interconnection
REITZ,,,ambiguous,0.62,inflection energy,62.5,SNITZ CREEK,surface_water
Puderbaugh,,,ambiguous,0.62,rockdale marcellus,57.1428571429,HOTTENBAUGH,surface_water
12. C2G SHASKAS,,,ambiguous,0.61,swn prod co,57.1428571429,PW-12,groundwater
10. Canton (~2.5%),,,ambiguous,0.59,chief oil & gas,76.1904761905,CANTON BORO AUTH INTC 2,interconnection
4. Canton (~5%),,,ambiguous,0.56,chief oil & gas,75,CANTON BORO AUTH SULLIVAN ST BULK LOADING STATION INTC,interconnection
FLT - Source 18,,,ambiguous,0.48,eqt chap,46.1538461538,FALL TEE 9,groundwater
RU-22 TNT LIMITED PARTNERSHIP EAST,,,ambiguous,0.48,swn prod co,61.5384615385,EAST POND,surface_water
All State,,,ambiguous,0.46,rockdale marcellus,71.4285714286,PENN STATE EFFLUENT,surface_water
Stallion,,,ambiguous,0.46,rockdale marcellus,58.8235294118,STAR WELL,groundwater
Evolution,,,ambiguous,0.39,rockdale marcellus,53.8461538462,EQT PRODUCTION CO INTC,interconnection
Moore,,,ambiguous,0.34,rockdale marcellus,57.1428571429,MON RIVER,surface_water
5. Forwarded,,,ambiguous,0.18,eqt chap,64,WELL-ORCHARD 5,groundwater
Patrik's,,,ambiguous,0.15,rockdale marcellus,57.1428571429,S & G PIT WATER,groundwater
Canton Borough,,,ambiguous,0.14,chesapeake appalachia,73.3333333333,CANTON BORO AUTH INTC,interconnection
SWEPI CUMMINGS WWD,,,ambiguous,0.12,clean energy exploration & production,76.9230769231,SWEPI LP INTC,interconnection
SWEPI Cummings WWD,,,ambiguous,0.12,clean energy exploration & production,76.9230769231,SWEPI LP INTC,interconnection
ACV Enviro,,,ambiguous,0.11,rockdale marcellus,52.1739130435,RESERVOIR DIV,surface_water
Deljanovan,,,ambiguous,0.1,rockdale marcellus,48,JANE EMILIE AMD,groundwater
16. Westfield Bailey Water Draw,,,ambiguous,0.1,swepi,75,BAILEY SW4,surface_water
Shaskas Site - C2G,,,ambiguous,0.09,swn prod co,56.25,SHAMOKIN CR WITH,surface_water
First American,,,ambiguous,0.09,rockdale marcellus,72.7272727273,PA AMERICAN BUTLER INTC,interconnection
4. Canton (~1%),,,ambiguous,0.08,chief oil & gas,75,CANTON BORO AUTH SULLIVAN ST BULK LOADING STATION INTC,interconnection
TI-07 CUPPER,,,ambiguous,0.08,swn prod co,58.3333333333,UPPER WELL 1,groundwater
LEPLEY AST,,,ambiguous,0.06,swn prod co,63.1578947368,EAST WELL,groundwater
H2O Express,,,ambiguous,0.05,rockdale marcellus,52.1739130435,PROCESS WELL,groundwater
Shaskas,,,ambiguous,0.04,coterra energy,50,LAKES,surface_water
3. LEPLEY AST,,,ambiguous,0.02,swn prod co,62.0689655172,EAST FIELD WELL 3,groundwater
SHELL,,,ambiguous,0.02,clean energy exploration & production,72.7272727273,WELL H,groundwater
McConnell,,,ambiguous,0.02,bkv opr,63.1578947368,MASON WELL,groundwater
Pelton,,,ambiguous,0.01,rockdale marcellus,66.6666666667,STEELTON PIT,groundwater
Voll,,,ambiguous,0.01,pennenergy resources,54.5454545455,RO WELL,groundwater
Fritsch Farm,,,ambiguous,0.01,pennenergy resources,61.5384615385,HALL FARM,surface_water
Forwardd Freshwater,,,ambiguous,0.01,eqt chap,68.9655172414,HIERONIMUS#2 FRESHWATER IMPOUNDMENT,surface_water
Edkin Hill precipitation,,,ambiguous,0.01,exco resources pa,54.1666666667,BRIER HILL MINE INTAKE 1,groundwater
